EmployeeID,Age,Gender,Department,Tenure,Salary,Satisfaction,WorkLifeBalance,Overtime,Performance,ManagerRating,LastHikePct,PromotionGap,Distance,Education,HireSource,EmploymentType,Sentiment,Attrition
100,29,Male,Operations,98,22.2,1.4,2,0,2,2.2,13.8,1,19,5,Job Board,Full-Time,Negative,1
101,36,Male,Operations,93,22.3,6.3,4,0,1,4.1,12.8,7,23,4,Job Board,Contract,Neutral,0
102,32,Male,Marketing,96,23.7,9.2,4,0,3,4.4,9.2,1,15,3,LinkedIn,Part-Time,Positive,0
103,33,Male,Engineering,102,33.1,7.1,4,1,4,4.9,8.3,3,14,4,LinkedIn,Full-Time,Positive,1
104,41,Male,Operations,115,25.2,3.9,3,0,3,3.7,10.9,6,4,3,Job Board,Full-Time,Neutral,0
105,28,Female,Marketing,73,25.6,6.8,1,1,3,3.5,20.0,4,5,2,Campus,Part-Time,Neutral,0
106,53,Female,Marketing,30,19.9,8.5,1,0,1,3.3,5.6,3,24,2,Campus,Full-Time,Positive,0
107,48,Male,Sales,68,21.6,5.3,3,1,4,4.1,9.2,4,29,2,Referral,Full-Time,Neutral,0
108,49,Male,Engineering,85,26.9,8.4,2,0,1,4.8,6.7,3,18,5,LinkedIn,Full-Time,Positive,0
109,28,Male,Engineering,12,23.0,4.5,1,0,3,3.8,11.1,2,10,4,LinkedIn,Full-Time,Negative,0
110,47,Male,Operations,91,22.3,4.1,4,0,3,2.7,5.5,4,2,1,Job Board,Full-Time,Negative,0
111,52,Male,Sales,65,18.5,6.2,4,0,4,2.1,17.5,2,2,5,Referral,Full-Time,Neutral,1
112,28,Male,Engineering,112,29.9,5.2,2,1,4,3.9,5.0,7,20,1,Job Board,Full-Time,Neutral,0
113,49,Female,Sales,26,17.4,9.8,3,0,3,4.6,15.6,3,19,3,LinkedIn,Full-Time,Positive,0
114,34,Male,Finance,108,29.5,5.6,2,0,3,2.2,8.1,6,9,1,LinkedIn,Full-Time,Negative,1
115,50,Female,Engineering,54,27.2,4.5,2,0,2,3.2,12.0,1,6,2,Referral,Full-Time,Positive,0
116,39,Male,Operations,69,19.4,4.6,3,0,3,4.8,6.8,5,3,4,Referral,Full-Time,Neutral,0
117,50,Male,Marketing,79,24.3,5.9,2,0,3,3.5,16.9,4,20,5,Referral,Full-Time,Neutral,0
118,27,Male,Marketing,69,22.2,4.2,4,1,3,2.7,21.0,5,18,5,LinkedIn,Full-Time,Negative,1
119,36,Male,Sales,108,18.9,7.5,1,0,3,3.1,7.2,3,10,5,Campus,Full-Time,Positive,0
120,31,Male,Finance,20,20.6,4.4,3,1,2,3.2,21.1,5,22,2,Referral,Full-Time,Negative,0
121,30,Female,Finance,87,29.1,4.5,4,0,1,2.4,9.2,0,25,1,Job Board,Contract,Neutral,0
122,33,Male,Finance,117,26.0,6.6,4,1,1,4.0,13.6,5,16,5,Referral,Full-Time,Neutral,0
123,35,Male,Engineering,27,24.4,1.5,1,0,2,3.8,16.3,6,8,5,Referral,Contract,Negative,0
124,26,Male,Sales,31,21.7,6.9,1,0,2,3.9,6.8,3,1,2,Job Board,Full-Time,Positive,0
125,47,Male,Engineering,57,25.0,5.5,3,1,3,3.8,11.5,0,24,1,Referral,Full-Time,Neutral,1
126,41,Male,Sales,87,23.0,5.1,4,0,4,2.1,4.3,4,17,4,Referral,Full-Time,Neutral,0
127,51,Male,Sales,115,22.6,7.5,4,0,3,2.5,16.2,6,11,1,Job Board,Part-Time,Positive,0
128,47,Female,Engineering,95,32.9,7.8,4,0,4,2.5,10.9,3,1,1,LinkedIn,Full-Time,Positive,1
129,27,Male,Engineering,95,29.4,8.6,1,0,3,2.3,19.9,0,24,5,Agency,Full-Time,Positive,0
130,24,Male,Finance,53,24.3,4.4,3,1,4,4.2,8.2,3,27,3,LinkedIn,Full-Time,Neutral,0
131,37,Female,Engineering,77,30.9,3.9,3,1,4,2.4,20.5,7,14,1,LinkedIn,Full-Time,Negative,1
132,39,Female,Operations,26,18.4,7.4,3,0,1,4.0,5.7,2,8,4,Job Board,Full-Time,Neutral,0
133,30,Male,Finance,56,22.7,6.2,4,1,3,2.5,14.5,4,18,2,LinkedIn,Part-Time,Positive,1
134,50,Male,Sales,23,16.5,6.7,1,0,3,2.4,8.8,2,26,3,Direct,Full-Time,Neutral,0
135,42,Male,Finance,4,21.3,6.0,2,1,4,2.5,6.5,5,18,5,Referral,Part-Time,Neutral,1
136,48,Male,Engineering,102,28.9,8.0,2,0,3,3.5,4.8,3,1,2,LinkedIn,Full-Time,Positive,0
137,25,Male,Operations,96,18.4,2.7,4,0,1,3.9,15.5,3,6,4,LinkedIn,Contract,Negative,0
138,51,Female,Sales,61,20.8,6.0,1,0,1,4.4,7.4,4,3,5,LinkedIn,Intern,Neutral,1
139,29,Male,Marketing,2,14.2,2.4,2,0,1,2.4,13.9,4,12,3,LinkedIn,Full-Time,Negative,0
140,38,Female,Engineering,11,26.1,4.7,1,0,1,3.8,21.6,3,14,5,LinkedIn,Intern,Negative,0
141,37,Male,Sales,14,17.5,7.0,1,0,1,4.3,9.0,2,16,3,LinkedIn,Part-Time,Positive,1
142,51,Female,Sales,86,21.1,5.4,4,0,4,2.9,3.7,0,22,3,LinkedIn,Full-Time,Negative,0
143,31,Female,Operations,25,15.6,4.4,4,0,2,2.2,5.7,5,4,5,Referral,Full-Time,Neutral,0
144,30,Male,Finance,30,18.6,9.0,2,0,3,2.5,5.3,2,28,4,LinkedIn,Full-Time,Positive,0
145,34,Male,Sales,103,22.0,8.0,3,0,4,2.3,11.8,4,8,5,LinkedIn,Full-Time,Positive,0
146,34,Male,Engineering,105,32.4,5.7,3,0,3,4.7,17.1,3,16,4,LinkedIn,Full-Time,Neutral,0
147,28,Female,Sales,91,27.7,9.6,4,1,2,3.1,8.6,6,7,4,LinkedIn,Full-Time,Positive,1
148,28,Male,HR,37,18.4,4.8,2,0,2,3.6,5.8,5,11,2,LinkedIn,Full-Time,Negative,0
149,30,Male,Sales,70,21.4,8.1,4,1,4,4.3,15.2,3,25,2,LinkedIn,Full-Time,Neutral,0
150,38,Male,Engineering,24,23.1,2.5,2,1,3,3.1,8.7,2,2,5,Referral,Full-Time,Negative,1
151,34,Female,Operations,103,21.3,3.6,3,0,4,3.9,13.9,5,15,4,Agency,Full-Time,Negative,0
152,36,Male,Operations,11,20.0,4.0,2,0,1,2.2,20.7,0,17,2,LinkedIn,Intern,Negative,1
153,47,Male,Engineering,89,28.7,2.0,3,0,1,3.4,8.5,0,17,2,LinkedIn,Full-Time,Negative,0
154,30,Female,HR,61,23.1,5.5,2,1,1,2.3,12.7,0,12,4,Job Board,Full-Time,Neutral,1
155,54,Male,Engineering,91,32.1,2.7,4,0,3,2.7,18.3,2,11,1,Referral,Full-Time,Negative,0
156,49,Female,Marketing,54,17.8,6.7,3,1,3,2.9,16.1,3,27,1,LinkedIn,Intern,Positive,0
157,28,Male,Engineering,19,22.2,2.7,2,1,2,4.2,17.3,2,7,4,Job Board,Full-Time,Negative,1
158,33,Male,Finance,90,25.9,2.1,4,0,2,4.0,17.7,1,14,2,Job Board,Full-Time,Negative,1
159,28,Female,Marketing,76,22.9,9.7,3,1,3,4.2,13.3,2,11,4,Direct,Full-Time,Positive,0
160,31,Female,Marketing,56,21.4,6.9,2,0,4,2.2,13.2,3,23,3,Agency,Full-Time,Neutral,0
161,35,Female,Engineering,45,31.6,9.4,1,1,4,5.0,16.7,2,24,5,Referral,Full-Time,Positive,0
162,26,Male,Operations,41,16.1,5.4,4,1,2,2.2,16.3,4,25,3,Job Board,Full-Time,Neutral,1
163,22,Male,Engineering,58,27.1,1.3,4,0,3,4.5,15.7,3,3,5,Referral,Full-Time,Negative,0
164,37,Male,Engineering,32,25.8,6.2,3,0,1,4.2,10.3,7,3,5,Campus,Full-Time,Neutral,1
165,47,Male,HR,34,16.7,6.0,4,0,4,3.8,18.7,7,11,2,Referral,Intern,Neutral,0
166,32,Male,Sales,34,18.9,1.1,3,1,1,3.3,7.5,5,13,5,LinkedIn,Full-Time,Negative,0
167,52,Male,Operations,2,13.1,8.8,1,0,2,4.3,6.0,4,2,4,LinkedIn,Intern,Positive,0
168,35,Male,Operations,111,24.1,6.6,1,1,3,4.2,9.6,0,26,1,Referral,Full-Time,Positive,1
169,54,Male,Sales,29,19.3,7.7,1,0,4,2.4,7.8,4,27,1,Referral,Full-Time,Positive,1
170,30,Male,Operations,20,17.3,5.4,1,0,1,4.4,15.6,3,13,2,Campus,Full-Time,Positive,1
171,41,Male,Engineering,18,24.6,6.6,3,1,3,2.2,7.4,2,23,1,LinkedIn,Full-Time,Positive,0
172,49,Female,HR,118,26.3,3.3,4,0,1,3.5,15.5,6,17,2,Campus,Full-Time,Neutral,1
173,24,Male,Engineering,57,28.4,9.8,1,0,1,3.9,12.8,0,20,5,LinkedIn,Full-Time,Positive,0
174,55,Male,Operations,39,18.3,4.6,3,0,2,4.5,5.9,2,26,3,Referral,Full-Time,Negative,0
175,35,Female,Engineering,49,23.6,2.5,1,0,3,3.4,7.9,6,3,1,Referral,Full-Time,Negative,0
176,39,Female,Engineering,11,21.7,1.5,2,0,2,2.7,12.9,7,7,3,LinkedIn,Full-Time,Negative,1
177,44,Male,Sales,38,18.6,6.7,4,0,4,3.5,16.9,4,13,2,Referral,Part-Time,Positive,0
178,45,Male,Operations,30,17.9,9.9,4,0,3,2.8,10.6,4,26,5,LinkedIn,Full-Time,Positive,0
179,22,Male,Operations,96,21.7,9.1,4,0,2,3.6,7.4,7,18,1,LinkedIn,Full-Time,Positive,0
180,53,Male,Marketing,7,15.7,7.3,2,0,2,3.4,8.6,0,12,4,Job Board,Full-Time,Positive,0
181,44,Female,Operations,51,16.7,9.9,4,0,2,4.3,4.8,3,1,3,LinkedIn,Full-Time,Positive,0
182,57,Female,Operations,95,19.3,7.5,4,0,1,2.7,3.5,1,18,1,Job Board,Intern,Positive,0
183,38,Male,HR,100,21.5,4.1,2,1,3,2.6,21.5,3,8,4,Job Board,Full-Time,Negative,1
184,44,Female,Sales,61,17.9,6.4,2,0,4,3.4,4.8,7,10,3,LinkedIn,Contract,Positive,1
185,37,Male,Marketing,27,17.2,1.7,1,0,2,2.2,5.4,4,29,4,Campus,Full-Time,Negative,0
186,54,Male,Finance,41,22.5,3.0,4,0,2,2.7,19.5,7,16,4,Job Board,Full-Time,Negative,0
187,51,Female,Sales,27,15.5,4.8,1,1,4,3.1,15.6,4,5,4,Job Board,Full-Time,Negative,1
188,54,Male,Engineering,79,29.1,2.8,2,1,3,3.5,11.3,6,2,3,Job Board,Full-Time,Negative,1
189,40,Male,Marketing,35,21.3,9.6,2,1,2,2.8,15.3,1,12,1,Referral,Full-Time,Positive,0
190,50,Male,Engineering,76,27.0,10.0,1,1,1,3.7,20.8,2,2,1,Direct,Full-Time,Positive,1
191,34,Female,Operations,79,20.4,4.3,4,0,4,4.6,4.9,2,13,3,LinkedIn,Contract,Neutral,0
192,38,Male,Engineering,112,32.0,7.4,3,1,3,3.6,7.6,6,13,2,LinkedIn,Full-Time,Positive,0
193,49,Male,Engineering,45,24.2,4.7,1,0,3,2.9,19.3,4,26,4,Job Board,Full-Time,Neutral,0
194,24,Male,Operations,115,22.6,2.3,1,1,2,2.2,17.8,1,10,3,LinkedIn,Full-Time,Negative,1
195,47,Male,Engineering,48,28.2,4.0,1,1,1,2.4,21.9,1,9,5,Referral,Full-Time,Negative,1
196,22,Male,Engineering,82,30.3,3.1,4,1,2,3.7,9.0,3,18,1,Referral,Full-Time,Negative,1
197,42,Female,Finance,79,27.5,4.0,2,0,4,4.1,21.0,1,19,2,LinkedIn,Full-Time,Negative,0
198,39,Female,Operations,98,24.7,2.9,3,1,2,2.1,9.5,5,2,4,Campus,Full-Time,Negative,0
199,38,Female,Engineering,56,22.5,2.0,1,0,3,2.6,16.6,6,3,1,LinkedIn,Full-Time,Negative,0
200,39,Female,Sales,95,26.3,3.0,1,0,4,3.0,19.8,7,5,2,LinkedIn,Full-Time,Negative,1
201,39,Male,Marketing,43,21.2,9.2,3,0,1,3.0,6.2,1,23,4,Job Board,Part-Time,Positive,0
202,36,Male,Operations,59,21.7,1.8,1,0,1,4.9,6.9,3,7,3,Job Board,Full-Time,Negative,1
203,38,Male,HR,60,19.6,3.9,3,0,1,2.6,14.0,4,29,4,Campus,Intern,Negative,0
204,42,Male,Engineering,84,28.8,5.8,4,0,4,2.2,19.0,3,13,3,LinkedIn,Full-Time,Neutral,1
205,49,Female,Engineering,74,27.4,4.2,2,0,3,3.1,4.5,3,28,5,Campus,Full-Time,Neutral,0
206,41,Female,Engineering,10,23.5,5.7,3,0,4,2.4,19.2,1,8,5,Referral,Contract,Neutral,0
207,45,Female,Engineering,97,29.1,1.4,4,0,4,2.4,9.5,0,13,5,Campus,Full-Time,Negative,1
208,52,Male,Marketing,91,26.0,6.8,4,0,2,3.2,10.7,3,4,1,LinkedIn,Full-Time,Positive,0
209,57,Male,Engineering,13,19.9,6.1,1,1,1,2.9,9.5,0,25,3,Referral,Full-Time,Positive,1
210,25,Male,HR,115,22.1,7.1,1,0,2,2.3,20.3,0,18,1,Referral,Full-Time,Neutral,1
211,47,Male,Marketing,79,27.4,6.1,4,1,3,3.8,5.5,4,3,2,Referral,Full-Time,Positive,0
212,30,Male,Finance,11,19.6,4.9,4,0,2,3.5,13.9,6,22,2,LinkedIn,Full-Time,Neutral,0
213,29,Male,Engineering,59,26.2,4.2,2,0,1,2.2,5.8,4,26,4,Referral,Part-Time,Negative,0
214,50,Male,Operations,100,21.2,3.0,3,0,4,4.6,20.6,0,20,3,Job Board,Full-Time,Negative,0
215,24,Female,Marketing,34,20.4,5.5,3,0,2,2.9,18.2,6,24,5,Referral,Full-Time,Neutral,1
216,52,Male,Marketing,112,24.5,1.2,3,0,3,4.9,7.4,5,9,2,Referral,Full-Time,Negative,0
217,49,Male,Engineering,50,25.6,4.0,4,0,4,4.8,8.7,2,13,4,LinkedIn,Full-Time,Neutral,0
218,57,Female,Engineering,27,25.9,7.1,2,0,3,3.3,10.2,2,25,4,Campus,Full-Time,Positive,0
219,46,Male,Operations,43,17.0,2.0,4,0,3,2.7,10.7,7,18,5,Referral,Full-Time,Negative,1
220,53,Female,Sales,63,22.6,1.6,1,0,1,4.5,18.5,3,18,2,Referral,Full-Time,Negative,0
221,26,Female,Sales,82,24.2,6.9,1,0,3,3.1,13.7,1,23,4,Agency,Full-Time,Neutral,0
222,54,Male,Sales,111,27.0,4.6,4,1,4,2.5,11.1,2,18,1,Job Board,Full-Time,Negative,1
223,27,Female,Finance,24,22.2,8.2,1,0,4,3.7,16.7,2,4,3,LinkedIn,Full-Time,Positive,0
224,33,Female,Operations,115,30.7,9.4,4,0,1,3.5,11.7,3,7,3,Job Board,Part-Time,Positive,1
225,26,Female,Engineering,63,29.1,9.6,2,0,1,4.6,5.4,2,23,5,Agency,Full-Time,Positive,0
226,36,Female,Operations,16,16.9,4.8,2,0,1,4.2,5.0,4,8,4,LinkedIn,Full-Time,Negative,0
227,48,Female,Engineering,111,29.1,3.4,1,0,4,4.6,9.2,2,20,5,Referral,Full-Time,Negative,0
228,31,Male,HR,42,17.2,6.5,4,0,2,4.2,14.5,5,14,5,LinkedIn,Full-Time,Neutral,1
229,51,Male,Finance,74,28.8,6.7,2,0,3,3.9,5.6,3,18,3,Campus,Full-Time,Neutral,0
230,43,Female,Engineering,84,32.1,6.6,1,0,2,3.5,13.5,7,7,4,Job Board,Contract,Neutral,0
231,44,Female,Engineering,2,25.1,3.9,2,0,3,5.0,8.1,6,10,1,Agency,Full-Time,Neutral,0
232,55,Male,Sales,27,19.7,1.6,1,0,4,4.9,16.2,2,20,3,Job Board,Full-Time,Negative,0
233,37,Female,Operations,82,19.0,2.9,4,0,2,4.5,3.5,0,5,1,LinkedIn,Contract,Negative,0
234,34,Male,Finance,39,24.1,2.4,1,1,4,4.3,11.9,4,9,4,Referral,Part-Time,Negative,0
235,57,Female,Operations,2,12.7,2.1,2,0,2,3.7,4.0,2,29,5,Campus,Full-Time,Negative,1
